"SMILES","pts"
"CCC(CO)NCCNC(CC)CO",1.03691
"CCC1=CC=C(NC2=CC=CC3=C2C(=O)C2=C(C3=O)C(NC3=CC=C(CC)C=C3)=CC=C2)C=C1",7.702956
"O=C(NC1=CC=C(CC2=CC=C(NC(=O)OCC3CO3)C=C2)C=C1)OCC1CO1",5.70953
"OC1=CC=C(NC2=NC(NC3=CC=C(O)C=C3)=NC(NC3=CC=C(O)C=C3)=N2)C=C1",7.649465
"CC(C)(C1=CC=C(OC2=NC(OCC=C)=NC(OCC=C)=N2)C=C1)C1=CC=C(OC2=NC(OCC=C)=NC(OCC=C)=N2)C=C1",5.43999
"CC(C)CCCCCC(=O)O[Ca]OC(=O)CCCCC(C)C",3.04196
"CC(C)CCCCCCC(=O)O[Ca]OC(=O)CCCCC(C)C",3.25606
"CC(C)CCCCCCC(=O)O[Ca]OC(=O)CCCCCC(C)C",3.27489
"CC(=O)OCC1CC2CC1C1CCCC21",3.05153
"OC(=O)C1=C(O)C(=CC(=C1)\N=N\C1=CC=C(O)C=C1O)S(O)(=O)=O",3.65744
"CCCCCOC1=CC=C(NC2=CC=CC3=C2C(=O)C2=C(C3=O)C(NC3=CC=C(OCCCCC)C=C3)=CC=C2)C=C1",7.486346
"BrC1=CC=C2C(=O)C3=C4C(=CC5=C6C7=C(C=C5Br)C(=O)C5=CC=C(Br)C=C5C7=CC(C(Br)=C3)=C46)C2=C1",9.753298
"CCOC(=O)CCN(CCN(CCC(=O)OCC)C(=O)CCCCCC(C)C)C(=O)CCCCCC(C)C",2.67451
"CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CC=C4CC(O)CCC4(C)C3CCC21C",4.35891
"CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C33OC3CC21C",4.73261
"CC(C1=CC=CC=C1)C1=CC(C(C)C2=CC=CC=C2)=C(OP(O)(=O)OC2=C(C=C(C=C2)C(C)C2=CC=CC=C2)C(C)C2=CC=CC=C2)C=C1",5.536162
"CC12CCC3OC3(C)CCC1O2",2.0613
"[K]OS(=O)(=O)CCCP(CCC#N)CC#N",3.66946
"[Na]OC(=O)CSC(=S)S[Na]",4.88853
"O=C(CCN1C(=O)C2=C(C=CC=C2)C1=O)NCCSSCCNC(=O)CCN1C(=O)C2=C(C=CC=C2)C1=O",4.6099
"CCOC(=O)CCCCC1SCC2NC(=O)NC12",2.37
"CC([O-])=O.CC(C)NC1=C2C(=O)C3=CC=CC=C3C(=O)C2=C(NCCC[N+](C)(C)CC2=CC=CC=C2)C=C1",5.876328
"CC(=O)OCCN(CCOC(C)=O)C1=CC=C(C=C1)\N=N\C1=C(C=C(S1)\N=N\C1=CC=C(C=C1)N(=O)=O)C#N",7.014692
"CC1(C)CC(N)CC(C)(N)C1",1.15671
"CCCC1N(CCC(=O)NN)C(=O)N(CCC(=O)NN)C1=O",2.39559
"CC1N(CCC(=O)NN)C(=O)N(CCC(=O)NN)C1=O",2.32735
"CCC(C)C1N(CCC(=O)NN)C(=O)N(CCC(=O)NN)C1=O",2.39737
"CCCC1N(CCC(=O)NN)C(=O)N(CC(C)C(=O)NN)C1=O",2.41914
"CSCCC1N(CCC(=O)NN)C(=O)N(CCC(=O)NN)C1=O",2.54326
"CSCCC1N(CCC(=O)NN)C(=O)N(CC(C)C(=O)NN)C1=O",2.55971
"CC(C)C1N(CCC(=O)NN)C(=O)N(CCC(=O)NN)C1=O",2.35995
"CCOC(=O)CN1C(=O)C2(CC(C)(C)NC(C)(C)C2)OC11CCCCCCCCCCC1",2.59281
"CC(C)C1=CC=C(NC2=CC=CC3=C2C(=O)C2=C(C(NC4=CC=C(C=C4)C(C)C)=CC=C2)C3=O)C=C1",7.43636
"CC(C)(C)CCCCCSSC1=NN=C(SSCCCCCC(C)(C)C)S1",5.38795
"OC1=CC(=CC=C1\N=N\C1=C(O)C(=CC2=CC(=CC=C12)S(O)(=O)=O)S(O)(=O)=O)C1=CC=C(\N=N\C2=C3C=CC(=CC3=CC(=C2O)S(O)(=O)=O)S(O)(=O)=O)C(O)=C1",3.97656
"COS(=O)(=O)O[N]1(=C(C=C(C)N1C)\N=N\C1=C(C)N(C)C2=C1C=CC=C2)C1=CC=CC=C1",3.58622
"CCCCC(CC)CC(S)C(=O)O[Cd]OC(=O)C(S)CC(CC)CCCC",4.90601
"CCC(=O)OCC1CC2CC1C1CCCC21",3.17971
"CCC(=O)OCC1CCC2C3CCC(C3)C12",3.2046
"CC(C)CCCCCCCCOC(=O)C=C",2.74692
"O=S(=O)(C1=CC=C(OCC2=CC=CC=C2)C=C1)C1=CC=C(OCC2=CC=CC=C2)C=C1",5.09611
"OC1OC(COC(=O)C2CCC(=O)N2)C(O)C(O)C1O",2.34916
"CC(C)C\C(O[Ru](O\C(CC(C)C)=C\C(C)=O)O\C(CC(C)C)=C\C(C)=O)=C\C(C)=O",4.739
"CC(C)C\C(O[Mo](O\C(CC(C)C)=C\C(C)=O)O\C(CC(C)C)=C\C(C)=O)=C\C(C)=O",4.64884
"CCCC[Sn](CCCC)(CCCC)OC(=O)CCCCCC(C)(C)C",5.761476
"O=C=NC1=CC=C(CC2=CC=C(NC(=O)NC3=CC=C(CC4=CC=C(C=C4)N=C=O)C=C3)C=C2)C=C1",6.68736
"CCO[Mg]OC(C)C",1.29789
"CC1=CC(=CC=C1\N=N\C1=C(O)C2=CC=C(NC(=O)C3=CC=CC=C3)C=C2C=C1S(=O)(=O)O[Na])C(=O)NC1=CC2=CC(=C(\N=N\C3=CC=CC=C3C(O)=O)C(O)=C2C=C1)S(O)(=O)=O",5.44838
"CC1=CC(=CC=C1N)C(=O)NC1=CC=C2C(O)=C(\N=N\C3=CC=C(C=C3C)C(=O)NC3=CC4=CC(=C(\N=N\C5=CC=CC=C5C(O)=O)C(O)=C4C=C3)S(=O)(=O)O[Na])C(=CC2=C1)S(O)(=O)=O",5.38033
"CCOCCO[Ca]OC(=O)OCCOCC",2.93501
"CCCC[Sn]1(OC(=O)\C=C\C(=O)O[Sn]2(CCCC)OC(=O)C=CC(=O)O2)OC(=O)C=CC(=O)O1",5.82899
"CC(C)OC(=O)CCCC(=O)OC(C)C",1.62881
"CC(C)CCCCCCCCCCCCCCC(=O)OC1COC2C(O)COC12",2.76167
"NNC(=O)CCNC1=CC(OCCC(=O)NN)=CC=C1",4.16449
"COC(=O)C1=CC(=C(C=C1OC)N(=O)=O)S(Cl)(=O)=O",3.08339
"COC1=CC(N)=C(N)C=C1C(=O)NCC1CCCN1CC=C",3.47652
"CS(=O)(=O)C1=CC=C(C=C1)C(O)C(CO)N(=O)=O",2.407
"CCCCCCCC\C=C\CCCCCCCC1=NC(COCCO)(COCCO)CO1",3.34378
"CCCCCOP(=S)(OCCCCC)SSP(=S)(OCCCCC)OCCCCC",4.41436
"OC(C#N)C1=CC=CC(Cl)=C1Cl",3.7687
"CC(C)CCCCCCCCCCOC\C=C(/C)CC\C=C(/C)COCCCCCCCCCCC(C)C",3.68401
"CC(C)(C)CCCCCC(=O)OCC(O)CNCC1=CC=C(CN)C=C1",2.19952
"CC(C)CCCCCCCCCCCCCC=O",2.57756
"CC(C)CCCCCCC1=CC=C(O)C(=C1)C(=N\O)\C1=CC=CC=C1Cl",7.0090474
"CC(C)CCCCCCOCC(O)COC1=CC=C(\C=N\N=C\C2=CC=C(OCC(CO)OCCCCCCC(C)C)C=C2)C=C1",4.74666
"CCCCC(CC)COC(=O)CCCCCCCCCCCCC(C)C",2.37984
"O[Al](O)OC(=O)C1=CC2=CC=CC=C2C=C1O",6.01222
"CCOC(OCC)=C(C)CCC1C(C)=CCCC1(C)C",2.68309
"O=C(NC1CCCCC1)OCCN(CCOC(=O)NC1CCCCC1)CCOC(=O)NC1CCCCC1",3.49215
"CC(C)CCCCCC(=O)O[Fe]OC(=O)CCCCC(C)C",2.93714
"CC1=CC(=C(O)C(C)=C1)C1(CCC2C3CCC(C3)C12)C1=CC(C)=CC(C)=C1O",6.06339
"CCCCCCCCCCCCCCCC(=O)NCCN(CCN(CCNC(=O)CCCCCCCCCCCCCCC)C(C)=O)C(C)=O",2.95671
"CC1=CC(=CC(C)=C1O)C1(CCC2C3CCC(C3)C12)C1=CC(C)=C(O)C(C)=C1",6.865346
"CC1C(CCC2=CCCCC12C)=C(C)C",2.84918
"CN(C)CCOC(=S)SSC(=S)OCCN(C)C",4.24239
"CN(CCO)CC(O)=O",0.76497
"COC1=CC(=CC=C1\N=N\C1=C(O)C2=C(O)C=C(C=C2C=C1S(O)(=O)=O)S(O)(=O)=O)N=N(=O)C1=CC=C(\N=N\C2=C(O)C3=C(C=C(C=C3O)S(O)(=O)=O)C=C2S(O)(=O)=O)C(OC)=C1",3.91203
"CC1(C)CC(N)CC(C)(CNCC2=C(O)C=CC=C2)C1",2.83224
"CC1(C)CC(N)CC(C)(CNC(=O)C2=CC=CC=C2O)C1",3.45761
"CC1(C)CC(N)CC(C)(CNCC2=C(O)C(CNCC3(C)CC(N)CC(C)(C)C3)=C(CNCC3(C)CC(N)CC(C)(C)C3)C=C2)C1",3.30102
"CC1(C)CC(N)CC(C)(CNCC2=CC(CNCC3(C)CC(N)CC(C)(C)C3)=C(O)C=C2)C1",3.31186
"CC(CCOCCCN)CC(C)(C)COCCCN",1.93126
"CC(CCOC(=O)CC(C)CC(C)(C)C)CC(C)(C)COC(=O)CC(C)CC(C)(C)C",2.96798
"CCCCCCCCCCOP(OCCCCCCCCCC)OC(C)COCC(C)OP(OCCCCCCCCCC)OCCCCCCCCCC",3.3351
"CCC(N1CC1)C(=O)OCC1(COC(=O)C(CC)N2CC2)CCC2C3CCC(C3)C12",3.1875
"C\C=C\C(=O)OCC1(COC(=O)\C=C\C)CCC2C3CCC(C3)C12",5.6001
"O=C(CCN1CC1)OCC1(COC(=O)CCN2CC2)CCC2C3CCC(C3)C12",2.91937
"CNCC1(CNC)CCC2C3CCC(C3)C12",2.06266
"C(\N=C\C1=CC=CC=C1)C1(C\N=C\C2=CC=CC=C2)CCC2C3CCC(C3)C12",5.48473
"CC(CC(=O)OCC1(COC(=O)CC(C)N2CC2)CCC2C3CCC(C3)C12)N1CC1",2.93225
"CCC(CC1=CC=CC=C1)(NC(=O)C1=CC=C(C=C1C(O)=O)N(=O)=O)C(O)=O",3.03663
"OCC(O)C1OCC(OC(=O)CCCCCCCCC=C)C1O",2.73914
"CCCCCCC(O)CCCCCCCCCCC(=O)OC1COC(C(O)CO)C1O",2.79583
"CC(=O)OC1COC(C(O)CO)C1O",1.65902
"CCCCCCC(O)C\C=C\CCCCCCCC(=O)OC1COC(C(O)CO)C1OC(=O)CCCCCCC\C=C\CC(O)CCCCCC",3.83847
"ClCC(Cl)COP(=O)(OCC(Br)CCl)OCC(CBr)(CBr)COP(=O)(OCC(Cl)CCl)OCC(Br)CCl",5.52952
"CC\C=C(/C)C1OCC(C)O1",1.27536
"CCCCCCC(O)C\C=C\CCCCCCCC(=O)O[Al]=O",3.6389
"CC(C)C(=O)NC1=NC2=C(N=CN2C2CC(O)C(COC3(C4=CC=CC=C4)C4=C(OC5=C3C=CC=C5)C=CC=C4)O2)C(O)=N1",6.584607
"COC1=CC=C(C=C1)C(OCC1OC(CC1OC(=O)C1=CC=CC=C1)N1C=C(C)C(=O)NC1=O)(C1=CC=CC=C1)C1=CC=C(OC)C=C1",5.28197
"CCCCCCC(O)C\C=C\CCCCCCCC(=O)O[Al](O)OC(=O)CCCCCCC\C=C\CC(O)CCCCCC",4.47197
"CC(O)C(=O)OC1COC(C(O)CO)C1O",1.8966
"CCCCCCCCCCCCCCCCCCCCCC(=O)OC1COC(C(O)CO)C1OC(=O)CCCCCCCCCCCCCCCCCCCCC",3.60367
"CCCCCCCCCCCCCC(=O)OCC(O)COCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC",3.50422
"CCOC(=O)CCC1=CN=C(C)C=C1",1.68414
"CCS(=O)(=O)C1=CC=C(C=C1)N(CC1CCCN1C)CC1=CC=CC=C1",2.72489
"CC(=O)\C=C(\C)O[V]1(=O)OCCO1",3.04382
"CCCCCCCCCCCCNC(S)=S",4.155468
"CCC(C)COP(=S)(OCC(C)CC)SSP(=S)(OCC(C)CC)OCC(C)CC",4.37775
"CC(C)CC(C)OP(=S)(OC(C)CC(C)C)SSP(=S)(OC(C)CC(C)C)OC(C)CC(C)C",4.43068
"CCCCC(CC)C(=O)O[Ce](OC(=O)CCCCC(C)C)OC(=O)C(CC)CCCC",3.98092
"CCCCC(CC)C(=O)O[Ce](OC(=O)CCCCC(C)C)OC(=O)CCCCC(C)C",3.83442
"CCCCC(CC)C(=O)O[Ce](OC(=O)CCCCCC(C)C)OC(=O)CCCCC(C)C",3.89198
"CCCCC(CC)C(=O)O[Ce](OC(=O)CCCCCCC(C)C)OC(=O)CCCCC(C)C",3.93467
"CCCCC(CC)C(=O)O[Fe]OC(=O)CCCCC(C)C",2.98878
"COC1=C(OC)C=C(C=C1)C1=C(NC(=N1)C1=CC=CC=C1Cl)C1=CC=CC=C1Cl",7.529113
"CCCCC(CC)C(=O)O[Fe]OC(=O)CCCCCCC(C)C",3.02077
"CCCCC(CC)C(=O)O[Fe]OC(=O)CCCCCC(C)C",2.9369
"CCCCCCCCCCCCCCCCCCCCCC(=O)O[Al]=O",3.51393
"CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCCCCCCCCC(C)C",3.17775
